grid_lat,grid_lon,year,eq_count_3yr,eq_count_1yr,mean_mag_3yr,max_mag_3yr,mean_depth_3yr,seismic_energy_3yr,seismic_energy_1yr,freq_trend,mag_trend,target_count,target_max_mag,target_energy,target_hrs,risk_label
29,129,2022,35,2,4.637142857142857,6.0,17.187142857142856,1412995432.6558464,25205594.316947877,0.1204819277108433,-0.0393939393939399,22,5.3,285812471.2723669,11.961727836017593,High
29,129,2023,51,22,4.601960784313725,6.0,12.620745098039215,1632481336.3191886,285812471.2723669,1.5068493150684932,-0.0753918495297814,2,4.5,9604484.957438467,9.477121254719663,Medium
29,129,2024,26,2,4.553846153846154,5.3,15.312923076923076,320622550.5467532,9604484.957438467,0.1652892561983471,-0.1124999999999998,120,5.6,2288654640.9521885,13.28278537031645,High
29,130,2002,28,14,4.478571428571429,5.1,46.47500000000001,280155201.0641126,89034269.7118341,1.971830985915493,-0.2999999999999998,17,4.8,76752112.84762675,10.855272505103306,High
29,130,2003,36,17,4.344444444444445,5.1,45.725,201310647.82088503,76752112.84762675,1.7708333333333337,-0.0507739938080487,3,5.7,425852406.0288384,12.002059991327963,High
29,130,2004,34,3,4.397058823529411,5.7,45.40882352941176,591638788.5882993,425852406.0288384,0.1923076923076923,0.8440860215053769,19,5.9,1028070832.497818,13.101029995663982,High
29,130,2005,39,19,4.546153846153846,5.9,44.06410256410256,1530675351.3742826,1028070832.497818,1.8811881188118813,0.2076315789473692,23,6.2,2447997425.7386804,13.780211241711607,High
29,130,2006,45,23,4.626666666666666,6.2,43.13111111111111,3901920664.265336,2447997425.7386804,2.072072072072072,-0.1879446640316215,8,5.1,71659594.73038808,11.154242509439324,High
29,130,2007,50,8,4.56,6.2,42.508,3547727852.9668856,71659594.73038808,0.3791469194312796,-0.1755952380952372,10,5.3,184482555.5393673,11.641392685158225,High
29,130,2008,41,10,4.504878048780488,6.2,42.29268292682927,2704139576.0084352,184482555.5393673,0.6410256410256411,0.0067741935483871,8,6.8,15936406803.14819,14.554242509439325,High
29,130,2009,26,8,4.596153846153846,6.8,43.67692307692308,16192548953.417946,15936406803.14819,0.8791208791208791,0.4208333333333334,0,0.0,0.0,0.0,Low
29,130,2010,18,0,4.677777777777777,6.8,44.56666666666667,16120889358.687555,0.0,0.0,-0.6777777777777771,7,5.3,124869976.12623604,11.503089986991943,High
29,130,2011,15,7,4.733333333333334,6.8,45.2,16061276779.274426,124869976.12623604,1.707317073170732,-0.3303571428571432,3,5.6,263821365.2385996,11.802059991327962,High
