grid_lat,grid_lon,avg_annual_count,max_magnitude,avg_magnitude,avg_depth,avg_energy,cluster
38,145,8.08695652173913,7.7,4.4366672238897635,13.722785603666612,17041025490.987612,1
39,130,0.043478260869565216,4.0,4.0,74.67521739130434,43478.260869565216,0
39,131,0.043478260869565216,4.2,4.0260869565217385,69.1695652173913,86750.53543342969,0
39,133,0.043478260869565216,4.8,4.104347826086957,59.84347826086957,689083.9967222221,0
39,134,0.34782608695652173,4.5,4.149275362318841,309.1759420289855,994406.7926022571,2
39,135,0.13043478260869565,6.1,4.306521739130434,126.4945652173913,61821450.63107022,2
39,136,0.043478260869565216,4.3,4.039130434782609,48.27391304347827,122538.38831584563,0
39,138,0.17391304347826086,4.3,4.078260869565217,41.32695652173913,375305.57293468615,0
39,139,0.4782608695652174,6.4,4.293478260869565,35.537217391304345,175134592.5228742,1
39,140,0.8260869565217391,5.8,4.488913043478261,95.68796376811594,31856594.848015994,1
39,141,8.130434782608695,6.9,4.446156606267178,77.25459921981748,1044488908.696023,1
39,142,28.82608695652174,7.0,4.526466252640357,55.856578129096654,4124003691.4686785,1
39,143,17.217391304347824,6.7,4.514827045692038,31.60986935322304,1200175814.969135,1
39,144,9.304347826086957,5.9,4.397638975253238,24.227095306455364,131684141.00376819,1
39,145,3.9130434782608696,5.2,4.467327691376203,19.77987963962612,34880331.45677451,1
40,132,0.043478260869565216,4.5,4.065217391304348,66.56478260869565,244496.22834363003,0
40,135,0.08695652173913043,4.0,4.0,68.94408695652173,86956.52173913043,0
40,136,0.043478260869565216,4.0,4.0,44.63478260869565,43478.260869565216,0
40,138,0.043478260869565216,4.6,4.078260869565217,36.47086956521739,345360.102054035,0
40,139,0.7391304347826086,6.2,4.380289855072464,52.03585507246377,90296829.0962763,1
40,140,1.173913043478261,5.0,4.397176736307171,100.10687201204591,9057822.346587868,1
40,141,2.130434782608696,6.8,4.532430986887508,69.1754458247067,710544049.7478333,1
40,142,16.434782608695652,6.7,4.498835797556949,59.620589242120886,1133798708.684282,1
40,143,20.130434782608695,6.7,4.577021643687391,34.8608337288445,2291440667.76905,1
40,144,10.782608695652174,6.2,4.557915252511914,23.072929006520095,337370449.47091377,1
40,145,1.608695652173913,5.0,4.40884936319719,24.05389437856829,10810580.074499615,1
40,146,0.043478260869565216,4.9,4.1173913043478265,4.60304347826087,973357.0167688446,0
41,123,0.08695652173913043,4.7,4.069565217391304,1.7391304347826086,549248.786419235,0
41,129,0.043478260869565216,4.6,4.078260869565217,1.3043478260869565,345360.102054035,0
41,130,0.043478260869565216,4.9,4.078260869565217,56.0764347826087,973357.0167688446,0
41,131,0.043478260869565216,4.5,4.065217391304348,71.64782608695651,244496.22834363003,0
41,132,0.21739130434782608,5.9,4.3,212.16717391304348,31216391.19546241,2
41,133,0.043478260869565216,4.1,4.01304347826087,62.45478260869565,61414.67585316316,0
